"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"71","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",5183359,NA
"72","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",5239023,NA
"73","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",5216222,NA
"74","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",5108418,NA
"75","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",5072873,NA
"76","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",5138393,NA
"77","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",5114139,NA
"78","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",5094218,NA
"79","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",5236579,NA
"80","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",5106105,NA
"81","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",3403158,NA
"82","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",3607466,NA
"83","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",3462933,NA
"84","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",3711971,NA
"85","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",3818544,NA
"86","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",4059596,NA
"87","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",3780852,NA
"88","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",3728555,NA
"89","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",3646450,NA
"90","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",3598066,NA
"91","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",3629679,NA
"92","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",3669759,NA
"93","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",3723626,NA
"94","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",3808198,NA
"95","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",3978791,NA
"96","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",4202318,NA
"97","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",4178035,NA
"98","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",4442516,NA
"99","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",4510279,NA
"100","CAGDP1-1","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",4415386,NA
"101","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",43695244,NA
"102","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",44491261,NA
"103","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",45807029,NA
"104","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",46952037,NA
"105","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",46941038,NA
"106","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",47303987,NA
"107","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",47364703,NA
"108","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",48189819,NA
"109","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",49013101,NA
"110","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",49358060,NA
"111","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",49585384,NA
"112","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",49695704,NA
"113","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",50248681,NA
"114","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",50850971,NA
"115","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",52150163,NA
"116","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",53454970,NA
"117","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",54627257,NA
"118","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",54926815,NA
"119","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",57338087,NA
"120","CAGDP1-1","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",55357663,NA
"121","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",30106354,NA
"122","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",30593343,NA
"123","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",33335598,NA
"124","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",38033028,NA
"125","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",37980833,NA
"126","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",38543511,NA
"127","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",38162676,NA
"128","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",38026671,NA
"129","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",38940946,NA
"130","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",38201629,NA
"131","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",37723277,NA
"132","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",37344986,NA
"133","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",36486538,NA
"134","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",37116490,NA
"135","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",37462382,NA
"136","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",37989148,NA
"137","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",37928511,NA
"138","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",38731029,NA
"139","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",39854122,NA
"140","CAGDP1-1","10740","Albuquerque, NM (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",38733912,NA
"141","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",4710211,NA
"142","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",4886542,NA
"143","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",4949593,NA
"144","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",5191408,NA
"145","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",5525090,NA
"146","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",5544528,NA
"147","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",5273630,NA
"148","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",5265327,NA
"149","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",5421214,NA
"150","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",5514301,NA
"151","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",5553274,NA
"152","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",5566157,NA
"153","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",5516802,NA
"154","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",5503516,NA
"155","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",5394528,NA
"156","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",5470854,NA
"157","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",5497096,NA
"158","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",5523985,NA
"159","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",5512028,NA
"160","CAGDP1-1","10780","Alexandria, LA (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",5291345,NA
"161","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",42735819,NA
"162","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",42711610,NA
"163","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",38962347,NA
"164","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",36036950,NA
"165","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",36269235,NA
"166","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",35859506,NA
"167","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",37499808,NA
"168","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",37845356,NA
"169","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",36659547,NA
"170","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",37548899,NA
"171","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2011","Thousands of chained 2012 dollars","3",37837088,NA
"172","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",38024245,NA
"173","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",38162206,NA
"174","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",38710340,NA
"175","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",39434730,NA
"176","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",40294417,NA
"177","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",40661960,NA
"178","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",41092184,NA
"179","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",42731033,NA
"180","CAGDP1-1","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",40885938,NA
"181","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",4668334,NA
"182","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",4666244,NA
"183","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",4783007,NA
"184","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",4982103,NA
"185","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",5137575,NA
"186","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",5224819,NA
"187","CAGDP1-1","11020","Altoona, PA (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",5158237,NA
